1,4,5,3,2
Arts & Humanities,Social Sciences,Technology,Physical Sciences,Life Sciences & Biomedicine
Architecture,Archaeology,Acoustics,Astronomy & Astrophysics,Agriculture
Art,Area Studies,Automation & Control Systems,Chemistry,Allergy
Arts & Humanities - Other Topics,Biomedical Social Sciences,Computer Science,Crystallography,Anatomy & Morphology
Asian Studies,Business & Economics,Construction & Building Technology,Electrochemistry,Anesthesiology
Classics,Communication,Energy & Fuels,Geochemistry & Geophysics,Anthropology
Dance,Criminology & Penology,Engineering,Geology,Audiology & Speech-Language Pathology
"Film, Radio & Television",Cultural Studies,Imaging Science & Photographic Technology,Mathematics,Behavioral Sciences
History,Demography,Information Science & Library Science,Meteorology & Atmospheric Sciences,Biochemistry & Molecular Biology
History & Philosophy of Science,Development Studies,Instruments & Instrumentation,Mineralogy,Biodiversity & Conservation
Literature,Education & Educational Research,Materials Science,Mining & Mineral Processing,Biophysics
Music,Ethnic Studies,Mechanics,Oceanography,Biotechnology & Applied Microbiology
Philosophy,Family Studies,Metallurgy & Metallurgical Engineering,Optics,Cardiovascular System & Cardiology
Religion,Geography,Microscopy,Physical Geography,Cell Biology
Theater,Government & Law,Nuclear Science & Technology,Physics,Critical Care Medicine
"Film, Radio, Television",International Relations,Operations Research & Management Science,Polymer Science,"Dentistry, Oral Surgery & Medicine"
Folklore,Linguistics,Remote Sensing,Thermodynamics,Dermatology
Literary Reviews,Mathematical Methods In Social Sciences,Robotics,Water Resources,Developmental Biology
Literary Theory & Criticism,Psychology,Science & Technology - Other Topics,Limnology,Emergency Medicine
"Literature, African, Australian, Canadian",Public Administration,Spectroscopy,"Physics, Applied",Endocrinology & Metabolism
"Literature, American",Social Issues,Telecommunications,"Physics, Atomic, Molecular & Chemical",Entomology
"Literature, British Isles",Social Sciences - Other Topics,Transportation,"Physics, Condensed Matter",Environmental Sciences & Ecology
"Literature, German, Dutch, Scandinavian",Social Work,Cell & Tissue Engineering,"Physics, Fluids & Plasmas",Evolutionary Biology
"Literature, Romance",Sociology,"Engineering, Aerospace","Physics, Mathematical",Fisheries
"Literature, Slavic",Urban Studies,"Engineering, Biomedical","Physics, Multidisciplinary",Food Science & Technology
Medieval & Renaissance Studies,Women's Studies,"Engineering, Chemical","Physics, Nuclear",Forestry
Poetry,Business,"Engineering, Civil","Physics, Particles & Fields",Gastroenterology & Hepatology
Multidisciplinary Sciences,"Business, Finance","Engineering, Electrical & Electronic",Soil Science,General & Internal Medicine
,Economics,"Engineering, Environmental",,Genetics & Heredity
,"Education, Scientific Disciplines","Engineering, Geological",,Geriatrics & Gerontology
,"Education, Special","Engineering, Industrial",,Health Care Sciences & Services
,Ethics,"Engineering, Manufacturing",,Hematology
,Ergonomics,"Engineering, Marine",,Immunology
,"Geosciences, Multidisciplinary","Engineering, Mechanical",,Infectious Diseases
,History Of Social Sciences,"Engineering, Multidisciplinary",,Integrative & Complementary Medicine
,Horticulture,"Engineering, Ocean",,Legal Medicine
,"Hospitality, Leisure, Sport & Tourism","Engineering, Petroleum",,Life Sciences Biomedicine Other Topics
,"Humanities, Multidisciplinary",Green & Sustainable Science & Technology,,Marine & Freshwater Biology
,Industrial Relations & Labor,"Materials Science, Biomaterials",,Mathematical & Computational Biology
,Language & Linguistics,"Materials Science, Ceramics",,Medical Ethics
,Law,"Materials Science, Characterization & Testing",,Medical Informatics
,Logic,"Materials Science, Coatings & Films",,Medical Laboratory Technology
,Management,"Materials Science, Composites",,Microbiology
,"Mathematics, Applied","Materials Science, Multidisciplinary",,Mycology
,"Mathematics, Interdisciplinary Applications","Materials Science, Paper & Wood",,Neurosciences & Neurology
,Political Science,"Materials Science, Textiles",,Nursing
,"Psychology, Applied",Nanoscience & Nanotechnology,,Nutrition & Dietetics
,"Psychology, Biological",Nanoscience & Nanotechnology,,Obstetrics & Gynecology
,"Psychology, Clinical",Quantum Science & Technology,,Oncology
,"Psychology, Developmental",Transportation Science & Technology,,Ophthalmology
,"Psychology, Educational",,,Orthopedics
,"Psychology, Experimental",,,Otorhinolaryngology
,"Psychology, Mathematical",,,Paleontology
,"Psychology, Multidisciplinary",,,Parasitology
,"Psychology, Psychoanalysis",,,Pathology
,"Psychology, Social",,,Pediatrics
,Regional & Urban Planning,,,Pharmacology & Pharmacy
,"Social Sciences, Biomedical",,,Physiology
,"Social Sciences, Interdisciplinary",,,Plant Sciences
,"Social Sciences, Mathematical Methods",,,Psychiatry
,Statistics & Probability,,,"Public, Environmental & Occupational Health"
,,,,"Radiology, Nuclear Medicine & Medical Imaging"
,,,,Rehabilitation
,,,,Reproductive Biology
,,,,Research & Experimental Medicine
,,,,Respiratory System
,,,,Rheumatology
,,,,Sport Sciences
,,,,Substance Abuse
,,,,Surgery
,,,,Toxicology
,,,,Transplantation
,,,,Tropical Medicine
,,,,Urology & Nephrology
,,,,Veterinary Sciences
,,,,Virology
,,,,Zoology
,,,,Agricultural Economics & Policy
,,,,Agricultural Engineering
,,,,Agronomy
,,,,Allergy
,,,,Andrology
,,,,Biodiversity Conservation
,,,,Biology
,,,,Cardiovascular System & Cardiology
,,,,Clinical Neurology
,,,,Ecology
,,,,Environmental Sciences
,,,,Environmental Studies
,,,,Gerontology
,,,,Health Policy & Services
,,,,"Medicine, General & Internal"
,,,,"Medicine, Legal"
,,,,"Medicine, Research & Experimental"
,,,,Neuroimaging
,,,,Neurosciences
,,,,Ornithology
,,,,Peripheral Vascular Disease
,,,,Primary Health Care
