"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"Mathematics","Physics","Chemistry","Geology","Ecology","Biology","Botany","Information Technology","Engineering","Telecommunications","Medicine","Civil Engineering","Pedagogy","Economics","Commerce","Sociology","Psychology","Law","Creative Art","Linguistics","Archaeology","Philosophy"
"Mathematical optimization","Quantum mechanics","Organic chemistry","Meteorology","","Genetics","Agronomy","Computer Science","Materials Science","Electronic engineering","Surgery","Built Environment","Education","Economic growth","Management","Social psychology","","Political Science","Writing","Communication","History","Religious Studies"
"Mathematical analysis","Optics","Stereochemistry","Climatology","Soil science","","Agroforestry","Simulation","","","Pathology","Design","Mathematics education","Microeconomics","Marketing","","Developmental psychology","Public administration","Multimedia","Culture","Ancient history",""
"Discrete mathematics","Nuclear magnetic resonance","Inorganic chemistry","Hydrology","","Biochemistry","","Data mining","","Computer network","","","","Economy","Operations management","","","","Computer graphics (images)","","",""
"Statistics","Condensed matter physics","","Oceanography","","","","","Ceramic materials","","Immunology","","","Macroeconomics","Services","","Psychiatry","","","","Geography",""
"Topology","Atomic physics","Analytical chemistry","Geomorphology","","Molecular biology","","Machine learning","Forensic engineering","Electrical engineering","Diabetes mellitus","","","","Public Relations","Social science","Clinical psychology","Actuarial science","Speech recognition","Natural language processing","","Epistemology"
"Combinatorics","","Photochemistry","","","Bioinformatics","Biotechnology","Artificial intelligence","Metallurgy","","Endocrinology","","","Finance","","","","","Art","","",""
"Control theory","Astronomy","Chromatography","Paleontology","Environmental Engineering","Microbiology","","Computer vision","Composite material","Real-time computing","Anatomy","Architectural engineering","","","Business","","Psychotherapist","","Literature","","",""
"Algebra","Classical mechanics","Mineralogy","","","","","World Wide Web","","","","","","Labour economics","","","Cognitive psychology","","","","",""
"Geometry","Astrophysics","","","Environmental resource management","","","","Thermodynamics","Distributed computing","","","","","","","Neuroscience","","Performance art","Algorithm","",""
"Calculus","","","Seismology","Environmental protection","","","","","","Anesthesia","","","","Advertising","","Cognition","","","Programming language","",""
"","Quantum electrodynamics","Physical Chemistry","Geophysics","Forestry","","","Database","Nanotechnology","","Virology","Systems engineering","Knowledge management","International trade","Accounting","","","Computer security","Acoustics","","Cartography",""
"","Nuclear physics","","Geochemistry","Geotechnical engineering","Cell biology","","Theoretical computer science","","","","","","Welfare economics","Financial economics","","","","Classics","","Humanities",""
"","Particle physics","Polymer chemistry","","","Enzyme","","","","Embedded system","Physical therapy","","","","","","","","","","","Ethics"
"Control engineering","Optoelectronics","","Atmospheric sciences","Waste management","Bacteria","Veterinary medicine","","Structural engineering","","","","","Econometrics","","Socioeconomics","Human factors and ergonomics","","","","","Theology"
"","","Crystallography","","","","Fishery","Operating system","","","Radiology","","","","Tourism","Development economics","","","Creativity","","",""
"","Magnetic field","","","Environmental chemistry","","Horticulture","","","","Intensive Care Medicine","","","","","Gender studies","","","Digital media","","",""
"","","Computational chemistry","Remote sensing","","","","","Engineering drawing","","","Mechanical Engineering","Medical education","Public economics","","","","","","","Genealogy",""
